epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,317.855,0.94048,2.09103,1.10117,1.23712,0,0.42083,0.64157,0.35595,0.25249,0.41987,0.63319,0.34639,0.24007,1.05328,2.65555,2.52565,1.34416,0,0.000664855,0.000664855,0.000664855
2,599.169,0.99049,2.08259,0.9634,1.27111,0,0.73489,0.65333,0.68671,0.52644,0.74197,0.64026,0.66209,0.50357,0.97181,2.44917,1.19561,1.32256,0,0.00129857,0.00129857,0.00129857
3,879.313,0.97133,2.05909,0.94293,1.26554,0,0.71969,0.63874,0.69114,0.53298,0.72717,0.62546,0.67129,0.52263,0.97097,2.26178,1.02197,1.32158,0,0.00189928,0.00189928,0.00189928
4,1160.27,0.96065,2.04673,0.93329,1.26273,0,0.75613,0.64396,0.71588,0.55381,0.75479,0.63705,0.69747,0.5436,0.90823,2.04981,0.90851,1.28786,0,0.0018515,0.0018515,0.0018515
5,1435.25,0.91874,1.94579,0.88635,1.23608,0,0.79708,0.69314,0.75645,0.60095,0.79979,0.68183,0.7331,0.5808,0.87387,2.07098,0.83957,1.24125,0,0.001802,0.001802,0.001802
6,1717.99,0.90205,1.91267,0.85014,1.22931,0,0.77006,0.70555,0.75348,0.60625,0.77713,0.70076,0.73941,0.59874,0.84865,1.93287,0.81939,1.24588,0,0.0017525,0.0017525,0.0017525
7,1994.39,0.87921,1.8507,0.81826,1.2165,0,0.78996,0.69327,0.76064,0.61832,0.79169,0.69271,0.7493,0.60594,0.83293,1.88076,0.85173,1.2483,0,0.001703,0.001703,0.001703
8,2276.17,0.85202,1.77808,0.79624,1.19592,0,0.7846,0.70314,0.76503,0.61554,0.78834,0.70276,0.75797,0.61058,0.82832,1.88756,0.80768,1.20888,0,0.0016535,0.0016535,0.0016535
9,2552.9,0.85191,1.80586,0.79581,1.19575,0,0.78655,0.73515,0.78358,0.63262,0.78838,0.72888,0.77078,0.62767,0.81718,1.79826,0.76207,1.22259,0,0.001604,0.001604,0.001604
10,2836.66,0.83643,1.76707,0.7736,1.18851,0,0.77263,0.7314,0.78511,0.63842,0.77823,0.72209,0.77281,0.62477,0.79379,1.78106,0.77757,1.20368,0,0.0015545,0.0015545,0.0015545
11,3122.04,0.8186,1.71448,0.74012,1.17137,0,0.77867,0.74146,0.79056,0.64298,0.78622,0.72753,0.77966,0.63352,0.77347,1.72086,0.76446,1.18849,0,0.001505,0.001505,0.001505
12,3402.32,0.81064,1.69718,0.74661,1.17292,0,0.77799,0.73711,0.7924,0.64502,0.78329,0.7292,0.78185,0.63741,0.77629,1.7169,0.74366,1.19091,0,0.0014555,0.0014555,0.0014555
13,3677.14,0.79968,1.68584,0.72694,1.16292,0,0.79952,0.73819,0.79954,0.65107,0.8171,0.71817,0.78733,0.63579,0.77661,1.72588,0.74215,1.18885,0,0.001406,0.001406,0.001406
14,3954.99,0.78105,1.62835,0.71987,1.14984,0,0.79345,0.74153,0.80244,0.65813,0.79569,0.74162,0.7954,0.64986,0.75851,1.69058,0.71389,1.17686,0,0.0013565,0.0013565,0.0013565
15,4241.89,0.78231,1.64244,0.72466,1.15101,0,0.80082,0.74298,0.80334,0.66368,0.80176,0.74385,0.79306,0.65011,0.75713,1.67037,0.70845,1.17111,0,0.001307,0.001307,0.001307
16,4524.74,0.79042,1.67099,0.71874,1.15687,0,0.80055,0.74073,0.80435,0.66407,0.80055,0.73984,0.79447,0.65817,0.75286,1.64661,0.72355,1.17572,0,0.0012575,0.0012575,0.0012575
17,4805.6,0.75709,1.59281,0.68853,1.1353,0,0.80191,0.7506,0.80462,0.67012,0.80098,0.74973,0.79312,0.65665,0.73196,1.62757,0.69731,1.14975,0,0.001208,0.001208,0.001208
18,5079.05,0.7613,1.60125,0.69115,1.13612,0,0.79848,0.74733,0.81336,0.67266,0.80391,0.74498,0.80354,0.66426,0.71963,1.58392,0.70253,1.14087,0,0.0011585,0.0011585,0.0011585
19,5355.5,0.75424,1.56755,0.67695,1.12969,0,0.79652,0.7482,0.81141,0.67206,0.79847,0.74842,0.80147,0.66335,0.7298,1.59096,0.68766,1.15185,0,0.001109,0.001109,0.001109
